"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Check post ID not existed","chromium","2026-03-26","passed","2026-03-26","Negative call request","","",""
"","719","Wrong endpoint | return 404","chromium","2026-03-26","passed","2026-03-26","Negative call request","","",""
"","15458","Navigate to Recruitment page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","2739","Navigate to Claim page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","3739","Verify link Admin link to Admin page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","10205","Verify the UI of dashboard page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","249","PATCH update post title","chromium","2026-03-26","passed","2026-03-26","","","",""
"","31","GET post detail - first lesson","chromium","2026-03-26","passed","2026-03-26","","","",""
"","675","GET method - Get user list | Assert response status","chromium","2026-03-26","passed","2026-03-26","API Testing","","",""
"","2312","Navigate to Leave page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","691","Verify the UI of dashboard page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","5470","Login with empty username/password","chromium","2026-03-26","passed","2026-03-26","Login Checking","","",""
"","13148","should open Admin page","chromium","2026-03-26","passed","2026-03-26","","","",""
"","11607","Verify Admin Page","chromium","2026-03-26","passed","2026-03-26","","","",""
"","411","Simple API Testing - Create new user | Assert status code","chromium","2026-03-26","passed","2026-03-26","API Testing","","",""
"","193","POST method - Login success","chromium","2026-03-26","passed","2026-03-26","API Testing","","",""
"","12566","Navigate to Recruitment page","chromium","2026-03-26","passed","2026-03-26","Dashboard Checking","","",""
"","223","POST method - Register un_scuccess","chromium","2026-03-26","passed","2026-03-26","API Testing","","",""
"","271","POST new post","chromium","2026-03-26","passed","2026-03-26","","","",""
"","190","LOGIN un_success","chromium","2026-03-26","passed","2026-03-26","Negative call request","","",""
"","262","PUT update full post","chromium","2026-03-26","passed","2026-03-26","","","",""
"","3641","Navigate to Recruitment page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","7259","Login not success with invalid username","chromium","2026-03-26","passed","2026-03-26","Login Checking","","",""
"","506","Simple API Testing - JSON Parsing | Get User Details","chromium","2026-03-26","passed","2026-03-26","API Testing","","",""
"","7513","Login not success with invalid password","chromium","2026-03-26","passed","2026-03-26","Login Checking","","",""
"","2505","Navigate to Performance page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","2018","Navigate to Buzz page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","3730","Navigate to My Info page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","3000","Navigate to Directory page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","12638","Navigate to Leave page","chromium","2026-03-26","passed","2026-03-26","Dashboard Checking","","",""
"","13594","Navigate to Leave page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","2175","Navigate to Dashboard page","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","10884","Log Out Successfully","chromium","2026-03-26","passed","2026-03-26","Checking Dashboard Page","","",""
"","9735","Log Out Successfully","chromium","2026-03-26","passed","2026-03-26","Dashboard Checking","","",""
"","8712","Login Success","chromium","2026-03-26","passed","2026-03-26","Login Checking","","",""
"","194","POST method - Register user success","chromium","2026-03-26","passed","2026-03-26","API Testing","","",""
"","8972","Verify Dashboard UI","chromium","2026-03-26","passed","2026-03-26","Dashboard Checking","","",""
"","730","DELETE post","chromium","2026-03-26","passed","2026-03-26","","","",""
"","58","GET post detail - first lesson","chromium","2026-03-26","passed","2026-03-26","","","",""
